,QUES,ANS,IS_QUESTION,QUES_RELEVANCE,ANS_READABILITY,ANS_RELEVANCE
1,贵公司的财务费用大幅度增长，如何控制负债率，当前好像看不到有效措施，不断担保，不断租赁物业等。有息贷款越来越多。,尊敬的投资者：    您好，公司正在进一步加强成本管理、费用管理，提高资金周转率，降低资金成本，感谢您对公司的关注。,Positive,Positive,1,1
2,据第一财经报道，“现在要货的话都已经排到明年才能出货。”请问是否属实？是否可借用母公司海尔集团生产线，扩大产能？,尊敬的投资者您好，公司于2019年底完成新工厂搬迁，新工厂的设计产能为20万台/年，同时公司致力于通过高效有序管理保证生产效率提升和订单要求满足，感谢您的关注！,Positive,Positive,4,2
3,董秘你好，请问贵公司2020年度的审计师是谁，审计费用是多少？,尊敬的投资者您好：公司在2019年度股东大会通过了同意聘请普华永道中天和罗宾咸永道为公司2020年度外部审计机构，2020年度含内部控制的审计审阅费用为366万元。相关信息公司已经在2019年度股东大会相关公告中予以披露，您可查询公司在上海交易所发布的相关公告。感谢您对公司的关注。谢谢！,Positive,Positive,4,3
4,最近走势向好，太难得了，不过在7月13号又有人批量出货力，是不是朱朝阳在出货了？？,您好！朱朝阳先生作为公司实际控制人，其减持公司股票有严格要求且需履行信息披露义务。截至目前，公司未收到朱朝阳先生减持计划，朱朝阳先生亦未进行减持，公司会严格履行相关信息披露义务。谢谢！,Positive,Positive,4,3
5,懂秘你好，为何通过的增持计划迟迟不见增持，是觉得公司股价3元高吗？！,尊敬的投资者您好。感谢您的关注。第一期员工持股计划的股票来源为公司回购专用账户已回购的股份，详情请关注公司于9月26日披露的《员工持股计划》。,Positive,Positive,4,3
6,无人机业务开展如何,您好！感谢您对公司的关注。公司2015年投资农飞客科技有限公司，并成为其第一大股东，现该公司正在全国各个地区进行业务布点。,Positive,Positive,4,3
7,我看你家抖音营销号都没流量，都没几个人看，我建议你们找像罗永浩这种主播先把品牌推广起来！,尊敬的投资者，您好！我们已将您的建议反馈至相关业务团队，谢谢！,Negative,Positive,4,3
8,请问贵公司为什么一直不增持。？,"基于对公司未来发展前景的信心，进一步维护公司二级市场股价，保护投资者利益，促进企业持续稳定健康发展，公司控股股东开滦集团于2020年2月5日至3月12期间，通过上海证券交易所交易系统累计增持公司股份31,755,991股，约占公司总股本的2%。具体内容详见公司在上海证券交易所网站披露的相关公告。感谢您对公司的关注。",Positive,Positive,4,3
9,请问公司和恒大的集采合同履行还正常吗？有关恒大地产方面的应收账款还有多少？,您好，感谢您对公司的关注。今年以来，公司与恒大的业务量比往年明显减少。公司将密切关注恒大事件的动向，根据情况适时披露双方的账务往来和处理进度。,Positive,Positive,1,1
10,你好，董秘！请问公司为何不公告去年高管被刑事调查案的进展情况？据消息人士透露，杭州融先公司牵涉此案，前高管沈志伟等人已被批捕，部分其他前高管亦被公安采取措施，请予以正面回应前述信息是否属实，目前该案件的进展情况，对上市公司有哪些影响？公司应重视中小投资者的疑惑，之前有投资者已提出类似问题，公司未予以回应，请务必正面回应，谢谢！,您好，公司会根据相关法律法规履行信息披露的义务。,Positive,Positive,1,1
